,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
0,house,1325000,800,6,0,1,0
1,house,338744,370,3,0,0,0
2,house,2950000,180,2,0,1,0
7,house,338215,406,3,0,0,0
8,house,301322,420,3,0,0,0
9,house,310210,344,3,0,0,0
10,house,342866,993,3,1,0,0
12,house,316748,341,3,0,0,0
13,house,320548,394,3,0,0,0
14,house,266885,341,3,0,0,0
16,house,276075,368,3,1,0,0
17,house,285975,381,3,1,0,0
21,exceptional property,600000,320,5,0,1,0
22,castle,1900000,30000,8,1,1,0
23,house,266275,410,3,0,0,0
25,house,349850,467,3,1,0,0
26,exceptional property,3380000,1390,7,1,1,1
27,exceptional property,750000,769,5,0,1,0
28,house,249995,339,3,0,1,0
29,house,185000,215,1,0,0,0
32,house,495100,850,4,0,0,0
35,villa,3900000,10000,5,1,1,0
37,house,275000,500,4,0,1,0
39,house,699000,410,4,0,0,0
40,house,275000,500,4,0,0,0
47,house,799000,181,4,0,0,0
48,exceptional property,4950000,4895,6,0,1,1
49,house,2450000,446,7,0,1,0
51,house,2450000,266,6,0,1,0
53,exceptional property,820000,10000,3,1,1,0
54,country cottage,1250000,10534,7,0,1,0
56,house,360600,500,3,0,1,0
58,house,325000,394,3,0,1,0
61,house,406000,436,3,1,0,0
62,house,406000,426,3,1,0,0
63,exceptional property,739000,320,9,1,1,0
64,farmhouse,1200000,20000,5,1,0,0
66,house,750000,1089,9,0,1,0
67,house,520000,0,4,1,1,0
69,bungalow,178000,236,2,0,1,0
71,apartment block,249000,0,7,0,1,0
72,exceptional property,2399000,334,5,1,1,0
74,house,550000,4395,5,0,0,0
75,house,99000,140,3,1,1,0
77,house,295000,0,3,0,0,0
79,exceptional property,2950000,749,7,0,1,0
80,mansion,289000,0,3,0,1,0
81,house,595000,0,3,0,1,0
83,house,368800,185,3,0,0,0
84,house,383100,245,3,0,0,0
85,house,376300,235,3,0,0,0
86,house,288800,493,3,0,0,0
88,house,99000,270,3,0,0,0
89,house,229000,0,5,0,1,0
91,apartment block,600000,295,0,0,0,0
92,house,30000,55,2,0,0,0
95,house,432309,470,3,0,0,0
98,apartment block,695000,410,10,0,0,0
99,apartment block,295000,206,9,0,1,0
101,house,3300000,32500,3,0,0,0
102,house,159500,220,3,0,1,0
104,apartment block,130000,100,3,0,0,0
107,house,169000,198,4,0,1,0
108,apartment block,299000,0,3,0,1,0
110,exceptional property,1980000,1300,6,0,0,0
112,house,335000,150,3,0,0,0
115,house,265000,256,4,0,0,0
117,apartment block,250000,530,7,0,1,0
119,mixed use building,250000,530,7,0,1,0
120,house,295000,450,3,0,1,0
122,mixed use building,290000,42,3,0,0,0
123,apartment block,1149000,2040,3,0,1,0
125,house,180000,0,0,0,0,0
126,country cottage,400000,3000,2,1,1,0
129,house,2490000,1792,5,1,1,0
130,mixed use building,750000,1089,9,0,1,0
131,house,200000,0,0,0,0,0
132,house,264000,210,3,0,1,0
133,house,214200,110,3,0,1,0
134,house,254700,273,3,0,1,0
135,house,277300,205,3,0,1,0
136,exceptional property,495000,4432,6,1,0,0
138,apartment block,250000,272,0,0,0,0
140,villa,2950000,1980,5,0,0,0
141,house,549000,118,5,0,0,0
142,house,248000,136,3,1,1,0
143,house,218300,74,2,0,0,0
147,house,349000,594,3,0,1,0
149,house,95000,0,2,0,1,0
151,exceptional property,1900000,30000,8,1,1,0
153,house,347500,825,3,1,0,0
154,house,347500,825,3,1,0,0
155,house,595000,599,4,0,1,0
157,house,972000,160,4,0,1,0
158,house,291000,290,3,0,0,0
160,house,115000,190,3,1,0,0
161,house,3850000,10000,5,0,1,1
162,house,330000,465,3,0,0,0
163,house,179000,420,3,1,1,0
165,mixed use building,890000,86,9,0,0,0
168,house,220000,345,4,0,0,0
169,house,1980000,565,7,0,1,0
171,exceptional property,1150000,45000,3,1,1,1
173,mixed use building,1850000,2036,4,0,1,0
174,house,130000,80,2,0,0,0
176,house,277000,212,3,0,1,0
177,mansion,1450000,1032,8,0,1,0
178,house,295000,241,3,0,1,0
179,mixed use building,225000,230,3,0,1,0
180,house,438000,746,3,0,1,0
181,house,225000,230,3,0,1,0
182,apartment block,400000,200,4,0,1,0
186,house,345000,290,4,0,1,0
187,house,263147,155,3,0,0,0
188,house,275000,454,4,0,1,0
189,house,317758,451,3,0,0,0
190,villa,1350000,9460,3,0,1,0
191,villa,1295000,2158,4,0,0,0
192,mansion,1395000,320,10,0,0,0
193,house,399000,2808,4,0,0,0
194,house,395000,3144,3,1,1,0
195,house,299000,136,3,0,1,0
196,house,289000,120,3,0,1,0
197,house,185000,0,3,0,1,0
198,house,295500,300,3,1,0,0
200,house,295500,368,3,1,0,0
203,house,379700,278,3,1,0,0
204,farmhouse,300000,1300,5,1,1,0
205,house,468700,538,3,1,0,0
206,house,374900,312,3,1,0,0
207,house,365700,500,3,0,0,0
208,house,349300,450,3,1,0,0
211,house,548000,1130,3,0,0,0
212,house,150000,164,3,0,1,0
213,house,119000,150,3,0,0,0
215,house,189900,450,3,0,0,0
217,house,249000,59,3,0,0,0
218,house,199900,90,4,0,0,0
219,house,280000,65,4,0,0,0
220,house,391000,872,3,0,0,0
221,house,285000,833,4,1,0,0
222,mixed use building,490000,3694,3,0,1,0
223,house,157000,0,3,0,1,0
225,villa,495000,0,3,0,1,0
226,house,525000,200,4,0,0,0
229,exceptional property,2300000,200,3,1,0,0
230,exceptional property,3850000,11405,6,1,1,0
231,house,75000,421,2,1,0,0
233,house,251600,210,3,0,1,0
234,house,217500,126,3,0,1,0
235,mixed use building,780000,400,5,1,1,0
236,house,139000,0,3,1,1,0
237,house,320000,242,5,1,1,0
239,house,650000,1633,5,0,0,0
241,house,450000,1595,3,0,0,0
242,apartment block,299000,779,7,0,0,0
243,house,150000,326,1,0,0,0
244,apartment block,2100000,0,4,0,1,0
246,villa,1380000,1461,6,0,1,0
247,apartment block,669000,223,0,0,0,0
248,house,85000,295,2,0,1,0
250,house,412000,160,3,0,0,0
252,farmhouse,750000,6000,6,1,1,0
253,house,895000,950,3,0,0,0
256,house,4950000,4895,7,1,1,1
259,exceptional property,4950000,20066,6,1,1,1
260,exceptional property,590000,0,6,0,1,0
262,apartment block,990000,0,0,0,0,0
263,house,149000,105,3,0,1,0
264,villa,210000,1687,4,1,0,0
265,house,215000,234,2,0,1,0
266,apartment block,699000,160,7,0,0,0
268,apartment block,470000,103,5,0,1,0
269,house,250000,180,4,0,0,0
270,house,325000,138,3,0,1,0
272,villa,325000,1000,5,1,1,0
273,villa,999000,1860,4,0,0,0
