,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
0,house,1325000.0,800.0,6.0,0,1,0
1,house,338744.0,370.0,3.0,0,0,0
2,house,2950000.0,180.0,2.0,0,1,0
7,house,338215.0,406.0,3.0,0,0,0
8,house,301322.0,420.0,3.0,0,0,0
9,house,310210.0,344.0,3.0,0,0,0
10,house,342866.0,993.0,3.0,1,0,0
12,house,316748.0,341.0,3.0,0,0,0
13,house,320548.0,394.0,3.0,0,0,0
14,house,266885.0,341.0,3.0,0,0,0
16,house,276075.0,368.0,3.0,1,0,0
17,house,285975.0,381.0,3.0,1,0,0
21,exceptional property,600000.0,320.0,5.0,0,1,0
22,castle,1900000.0,30000.0,8.0,1,1,0
23,house,266275.0,410.0,3.0,0,0,0
25,house,349850.0,467.0,3.0,1,0,0
26,exceptional property,3380000.0,1390.0,7.0,1,1,1
27,exceptional property,750000.0,769.0,5.0,0,1,0
28,house,249995.0,339.0,3.0,0,1,0
29,house,185000.0,215.0,1.0,0,0,0
32,house,495100.0,850.0,4.0,0,0,0
35,villa,3900000.0,10000.0,5.0,1,1,0
37,house,275000.0,500.0,4.0,0,1,0
39,house,699000.0,410.0,4.0,0,0,0
40,house,275000.0,500.0,4.0,0,0,0
47,house,799000.0,181.0,4.0,0,0,0
48,exceptional property,4950000.0,4895.0,6.0,0,1,1
49,house,2450000.0,446.0,7.0,0,1,0
51,house,2450000.0,266.0,6.0,0,1,0
53,exceptional property,820000.0,10000.0,3.0,1,1,0
54,country cottage,1250000.0,10534.0,7.0,0,1,0
56,house,360600.0,500.0,3.0,0,1,0
58,house,325000.0,394.0,3.0,0,1,0
61,house,406000.0,436.0,3.0,1,0,0
62,house,406000.0,426.0,3.0,1,0,0
63,exceptional property,739000.0,320.0,9.0,1,1,0
64,farmhouse,1200000.0,20000.0,5.0,1,0,0
66,house,750000.0,1089.0,9.0,0,1,0
67,house,520000.0,0.0,4.0,1,1,0
69,bungalow,178000.0,236.0,2.0,0,1,0
71,apartment block,249000.0,0.0,7.0,0,1,0
72,exceptional property,2399000.0,334.0,5.0,1,1,0
74,house,550000.0,4395.0,5.0,0,0,0
75,house,99000.0,140.0,3.0,1,1,0
77,house,295000.0,0.0,3.0,0,0,0
79,exceptional property,2950000.0,749.0,7.0,0,1,0
80,mansion,289000.0,0.0,3.0,0,1,0
81,house,595000.0,0.0,3.0,0,1,0
83,house,368800.0,185.0,3.0,0,0,0
84,house,383100.0,245.0,3.0,0,0,0
85,house,376300.0,235.0,3.0,0,0,0
86,house,288800.0,493.0,3.0,0,0,0
88,house,99000.0,270.0,3.0,0,0,0
89,house,229000.0,0.0,5.0,0,1,0
91,apartment block,600000.0,295.0,0.0,0,0,0
92,house,30000.0,55.0,2.0,0,0,0
95,house,432309.0,470.0,3.0,0,0,0
98,apartment block,695000.0,410.0,10.0,0,0,0
99,apartment block,295000.0,206.0,9.0,0,1,0
101,house,3300000.0,32500.0,3.0,0,0,0
102,house,159500.0,220.0,3.0,0,1,0
104,apartment block,130000.0,100.0,3.0,0,0,0
107,house,169000.0,198.0,4.0,0,1,0
108,apartment block,299000.0,0.0,3.0,0,1,0
110,exceptional property,1980000.0,1300.0,6.0,0,0,0
112,house,335000.0,150.0,3.0,0,0,0
115,house,265000.0,256.0,4.0,0,0,0
117,apartment block,250000.0,530.0,7.0,0,1,0
119,mixed use building,250000.0,530.0,7.0,0,1,0
120,house,295000.0,450.0,3.0,0,1,0
122,mixed use building,290000.0,42.0,3.0,0,0,0
123,apartment block,1149000.0,2040.0,3.0,0,1,0
125,house,180000.0,0.0,0.0,0,0,0
126,country cottage,400000.0,3000.0,2.0,1,1,0
129,house,2490000.0,1792.0,5.0,1,1,0
130,mixed use building,750000.0,1089.0,9.0,0,1,0
131,house,200000.0,0.0,0.0,0,0,0
132,house,264000.0,210.0,3.0,0,1,0
133,house,214200.0,110.0,3.0,0,1,0
134,house,254700.0,273.0,3.0,0,1,0
135,house,277300.0,205.0,3.0,0,1,0
136,exceptional property,495000.0,4432.0,6.0,1,0,0
138,apartment block,250000.0,272.0,0.0,0,0,0
140,villa,2950000.0,1980.0,5.0,0,0,0
141,house,549000.0,118.0,5.0,0,0,0
142,house,248000.0,136.0,3.0,1,1,0
143,house,218300.0,74.0,2.0,0,0,0
147,house,349000.0,594.0,3.0,0,1,0
149,house,95000.0,0.0,2.0,0,1,0
151,exceptional property,1900000.0,30000.0,8.0,1,1,0
153,house,347500.0,825.0,3.0,1,0,0
154,house,347500.0,825.0,3.0,1,0,0
155,house,595000.0,599.0,4.0,0,1,0
157,house,972000.0,160.0,4.0,0,1,0
158,house,291000.0,290.0,3.0,0,0,0
160,house,115000.0,190.0,3.0,1,0,0
161,house,3850000.0,10000.0,5.0,0,1,1
